#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-05-26 16:21:33 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 06752260 CACHE LA POUDRE RIVER AT FORT COLLINS, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		17702	
# 00095		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius		17705	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	06752260	00060	17702	2016	7	153.7
USGS	06752260	00060	17702	2016	8	133.7
USGS	06752260	00060	17702	2016	9	73.1
USGS	06752260	00060	17702	2016	10	44.1
USGS	06752260	00060	17702	2016	11	13.7
USGS	06752260	00060	17702	2016	12	11.9
USGS	06752260	00060	17702	2017	1	72.4
USGS	06752260	00060	17702	2017	2	67.5
USGS	06752260	00060	17702	2017	3	27.8
USGS	06752260	00060	17702	2017	4	21.8
USGS	06752260	00060	17702	2017	5	902.1
USGS	06752260	00060	17702	2017	6	1109
USGS	06752260	00060	17702	2017	7	156.2
USGS	06752260	00060	17702	2017	8	282.5
USGS	06752260	00060	17702	2017	9	240.1
USGS	06752260	00060	17702	2017	10	117.0
USGS	06752260	00060	17702	2017	11	61.9
USGS	06752260	00060	17702	2017	12	79.6
USGS	06752260	00060	17702	2018	1	57.8
USGS	06752260	00060	17702	2018	2	22.5
USGS	06752260	00060	17702	2018	3	34.0
USGS	06752260	00060	17702	2018	4	23.8
USGS	06752260	00060	17702	2018	5	778.1
USGS	06752260	00060	17702	2018	6	388.3
USGS	06752260	00060	17702	2018	7	125.2
USGS	06752260	00060	17702	2018	8	84.0
USGS	06752260	00060	17702	2018	9	46.9
USGS	06752260	00060	17702	2018	10	130.3
USGS	06752260	00060	17702	2018	11	15.3
USGS	06752260	00060	17702	2018	12	10.2
USGS	06752260	00060	17702	2019	1	12.6
USGS	06752260	00095	17705	1989	10	532.8
USGS	06752260	00095	17705	1989	11	611.6
USGS	06752260	00095	17705	1989	12	634.9
USGS	06752260	00095	17705	1990	1	476.5
USGS	06752260	00095	17705	1990	4	252.2
USGS	06752260	00095	17705	1990	5	266.0
USGS	06752260	00095	17705	1990	6	86.3
USGS	06752260	00095	17705	1990	7	142.6
USGS	06752260	00095	17705	1990	8	217.8
USGS	06752260	00095	17705	1990	9	361.0
USGS	06752260	00095	17705	1990	10	545.4
USGS	06752260	00095	17705	1990	12	551.3
USGS	06752260	00095	17705	1991	1	518.6
